day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
124,313,24.57,5.13,-12.82,-26.57,-376.03,-30.6,576.86,-62.02,1.68,-25.35,-195.46,-18.13,11.29,-88.03,0.0,-170.23
125,313,24.64,5.76,-12.83,-28.19,-378.06,-30.37,579.74,-62.62,1.72,-25.68,-196.62,-18.13,12.0,-88.72,0.0,-171.31
126,313,24.49,5.36,-12.98,-28.11,-381.31,-28.86,582.04,-63.12,1.71,-25.76,-198.92,-18.14,11.91,-88.98,0.0,-171.87
127,313,25.26,3.14,-12.33,-27.69,-382.06,-28.19,582.75,-63.52,1.81,-25.82,-199.34,-18.14,11.99,-89.04,0.0,-172.51
128,313,24.41,3.92,-12.79,-26.85,-383.14,-29.43,585.5,-63.68,1.84,-26.3,-199.8,-18.14,12.03,-89.09,0.0,-172.94
129,312,22.91,5.01,-13.93,-27.7,-382.75,-29.51,583.12,-64.14,1.89,-26.43,-200.48,-17.57,11.62,-87.65,0.0,-170.86
130,311,23.31,5.09,-13.83,-26.63,-383.56,-29.09,583.94,-64.29,1.91,-26.63,-200.89,-17.62,11.8,-87.83,0.0,-171.3
131,310,23.64,4.24,-13.63,-28.3,-384.59,-28.67,583.75,-64.45,1.87,-27.66,-201.17,-17.52,11.78,-87.43,0.0,-170.48
132,310,23.09,3.55,-13.97,-28.43,-385.86,-28.2,584.78,-64.57,1.83,-28.22,-201.73,-17.53,11.81,-87.45,0.0,-170.71
133,309,23.06,4.31,-13.95,-29.49,-386.19,-28.32,586.2,-64.67,1.83,-28.02,-202.01,-17.58,11.97,-87.71,0.0,-171.69
134,309,23.26,2.76,-13.71,-28.25,-386.93,-27.94,586.67,-64.82,1.8,-28.19,-202.21,-17.56,11.87,-87.81,0.0,-171.8
135,309,23.24,3.69,-13.67,-28.73,-387.93,-28.2,588.73,-65.01,1.81,-28.5,-202.62,-17.56,11.77,-87.83,0.0,-172.6
136,309,23.65,3.48,-13.43,-29.06,-388.51,-27.8,589.06,-65.12,1.79,-28.62,-202.99,-17.55,11.83,-87.86,0.0,-172.74
137,309,23.98,4.29,-13.34,-29.56,-389.01,-27.12,589.69,-65.12,1.8,-28.94,-203.33,-17.55,12.04,-87.89,0.0,-173.57
138,309,24.68,1.9,-13.03,-28.72,-389.81,-26.97,590.39,-65.42,1.79,-29.1,-203.67,-17.56,12.08,-87.91,0.0,-173.62
139,308,24.8,3.74,-12.98,-28.63,-389.87,-26.74,590.9,-65.5,1.81,-29.03,-203.8,-17.41,11.94,-87.89,0.0,-174.29
140,308,24.7,4.18,-13.15,-29.25,-390.26,-26.81,591.44,-65.54,1.78,-29.01,-204.14,-17.43,12.05,-87.97,0.0,-174.38
141,308,25.13,2.98,-12.92,-29.73,-391.02,-25.83,591.32,-65.62,1.81,-29.06,-204.63,-17.43,11.94,-88.03,0.0,-174.48
142,308,25.52,1.63,-12.7,-30.63,-391.53,-25.45,591.59,-65.78,1.85,-28.94,-205.02,-17.42,11.87,-88.07,0.0,-174.61
143,308,25.47,1.5,-12.83,-30.65,-391.9,-26.04,592.66,-65.95,1.9,-28.8,-205.32,-17.42,11.83,-88.13,0.0,-174.72
144,308,24.97,0.79,-13.12,-30.02,-392.44,-26.42,593.92,-66.25,1.89,-28.79,-205.5,-17.42,11.8,-88.17,0.0,-175.06
145,307,24.68,0.71,-12.98,-30.66,-391.68,-26.56,593.65,-66.08,1.89,-28.81,-205.65,-17.47,12.04,-87.58,0.0,-175.41
