코드,종목명,상장일,수정공모가,상장일종가,6M종가,12M종가,18M종가,24M종가,상장일수익률_수정공모가(%),6M수익률_수정공모가(%),12M수익률_수정공모가(%),18M수익률_수정공모가(%),24M수익률_수정공모가(%),6M수익률_종가(%),12M수익률_종가(%),18M수익률_종가(%),24M수익률_종가(%),최종일,최종일종가,최종일수익률_수정공모가(%),최종일수익률_종가(%),기관_6M순매수,기관_12M순매수,기관_18M순매수,기관_24M순매수,외국인총합계_6M순매수,외국인총합계_12M순매수,외국인총합계_18M순매수,외국인총합계_24M순매수,개인_6M순매수,개인_12M순매수,개인_18M순매수,개인_24M순매수,금융투자_6M순매수,금융투자_12M순매수,금융투자_18M순매수,금융투자_24M순매수,보험_6M순매수,보험_12M순매수,보험_18M순매수,보험_24M순매수,투신_6M순매수,투신_12M순매수,투신_18M순매수,투신_24M순매수,사모펀드_6M순매수,사모펀드_12M순매수,사모펀드_18M순매수,사모펀드_24M순매수,은행_6M순매수,은행_12M순매수,은행_18M순매수,은행_24M순매수,연기금_6M순매수,연기금_12M순매수,연기금_18M순매수,연기금_24M순매수,기타금융기관_6M순매수,기타금융기관_12M순매수,기타금융기관_18M순매수,기타금융기관_24M순매수,"국가,지자체_6M순매수","국가,지자체_12M순매수","국가,지자체_18M순매수","국가,지자체_24M순매수",기타법인_6M순매수,기타법인_12M순매수,기타법인_18M순매수,기타법인_24M순매수
A059270,해성에어로보틱스,2021-04-21,6500.0,16900.0,11000.0,8600.0,7670.0,7330.0,160.0,69.2,32.3,18.0,12.8,-34.9,-49.1,-54.6,-56.6,2023-04-21,7330.0,12.8,-56.6,-146.3,-164.5,-164.7,-195.1,-26.2,-29.0,-33.3,-36.2,203.4,275.9,374.1,407.2,-26.1,-40.1,-40.7,-40.9,-0.2,-0.2,-0.2,-0.2,-20.0,-22.5,-23.7,-35.4,-96.9,-98.5,-96.9,-115.4,-0.1,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-2.8,-2.9,-2.9,-2.9,0.0,0.0,0.0,0.0,-30.9,-82.5,-176.2,-176.0
A351330,이삭엔지니어링,2021-04-21,11500.0,26150.0,12750.0,12350.0,8080.0,11520.0,127.4,10.9,7.4,-29.7,0.2,-51.2,-52.8,-69.1,-55.9,2023-04-21,11520.0,0.2,-55.9,-242.0,-254.9,-255.8,-322.3,-58.7,-59.6,-59.9,-62.2,311.9,324.9,326.1,394.3,-69.7,-71.3,-70.9,-71.9,-1.1,-1.1,-1.1,-1.1,-24.1,-26.9,-26.1,-28.1,-136.1,-144.6,-146.8,-210.3,-0.7,-0.7,-0.7,-0.7,-1.4,-1.4,-1.4,-1.4,-8.8,-8.8,-8.8,-8.8,0.0,0.0,0.0,0.0,-11.2,-10.5,-10.5,-9.8
A294570,쿠콘,2021-04-28,36019.0,52428.0,66756.0,47800.0,26700.0,28350.0,45.6,85.3,32.7,-25.9,-21.3,27.3,-8.8,-49.1,-45.9,2023-04-28,28350.0,-21.3,-45.9,-52.6,-315.0,-387.1,-394.6,298.3,318.4,202.4,130.7,-136.0,111.6,297.8,350.3,-96.4,-117.9,-113.2,-118.7,32.6,28.2,21.2,20.7,130.7,153.0,119.2,115.0,-119.8,-389.2,-394.3,-393.1,3.8,1.1,-1.1,-1.1,116.6,123.5,94.5,96.8,-120.1,-113.6,-113.4,-114.1,0.0,0.0,0.0,0.0,-109.8,-115.0,-113.1,-86.5
A357230,에이치피오,2021-05-14,10608.0,8004.0,7168.0,5639.0,3837.0,,-24.5,-32.4,-46.8,-63.8,,-10.4,-29.5,-52.1,,2023-05-12,4005.0,-62.2,-50.0,-378.4,-438.2,-478.2,,106.4,105.7,60.2,,350.9,392.5,439.8,,-16.5,-28.7,-29.4,,51.2,43.3,25.3,,-61.4,-67.3,-72.8,,-170.2,-197.0,-209.1,,2.6,2.6,2.6,,8.5,0.0,-2.0,,-192.7,-191.1,-192.7,,0.0,0.0,0.0,,-78.9,-60.0,-21.9,
A352480,씨앤씨인터내셔널,2021-05-17,31703.0,27465.0,19100.0,22350.0,22900.0,44650.0,-13.4,-39.8,-29.5,-27.8,40.8,-30.5,-18.6,-16.6,62.6,2023-05-17,44650.0,40.8,62.6,-149.1,-119.1,-92.5,175.7,-45.3,-51.8,-48.5,-2.8,199.2,174.0,142.3,24.7,-37.1,-37.2,-38.5,-12.3,0.9,9.2,19.4,48.6,4.8,23.4,20.1,10.6,-158.1,-154.8,-154.9,-41.2,-1.4,-1.4,-1.5,-1.9,50.9,49.9,70.8,220.9,-9.1,-8.2,-8.1,-49.1,0.0,0.0,0.0,0.0,-4.9,-3.1,-1.3,-197.6
A252990,샘씨엔에스,2021-05-20,6500.0,8320.0,6540.0,6480.0,3980.0,,28.0,0.6,-0.3,-38.8,,-21.4,-22.1,-52.2,,2023-05-19,4970.0,-23.5,-40.3,-423.3,-435.9,-459.3,,8.5,-19.6,-21.1,,435.3,473.8,500.4,,-42.6,-35.8,-28.0,,-9.9,-9.9,-9.9,,-94.5,-109.8,-118.0,,-257.5,-261.2,-284.3,,-1.6,-1.6,-1.6,,-7.9,-7.8,-7.8,,-9.3,-9.8,-9.8,,0.0,0.0,0.0,,-20.5,-18.3,-20.0,
A361670,삼영에스앤씨,2021-05-21,11000.0,28600.0,13400.0,8430.0,7280.0,,160.0,21.8,-23.4,-33.8,,-53.1,-70.5,-74.5,,2023-05-19,7290.0,-33.7,-74.5,-311.9,-316.7,-321.3,,-16.1,-14.2,-16.0,,436.8,436.5,445.0,,-36.1,-37.3,-37.3,,-0.2,-0.2,-0.2,,-22.1,-22.8,-26.0,,-67.9,-70.7,-72.2,,-61.2,-61.2,-61.2,,-0.2,-0.2,-0.2,,-124.2,-124.2,-124.2,,0.0,0.0,0.0,,-108.8,-105.7,-107.6,
A276730,한울앤제주,2021-05-26,193345.0,296060.0,155885.0,157697.0,115705.0,96612.0,53.1,-19.4,-18.4,-40.2,-50.0,-47.3,-46.7,-60.9,-67.4,2023-05-26,96612.0,-50.0,-67.4,-431.1,-431.7,-433.0,-434.4,-21.9,-26.2,-29.1,-14.8,1016.3,1093.8,1158.5,1148.5,-79.9,-79.6,-79.8,-80.7,-4.3,-4.3,-4.3,-4.3,-56.5,-56.5,-57.8,-57.9,-142.2,-143.0,-142.8,-143.2,-113.8,-113.8,-113.8,-113.8,-1.8,-1.8,-1.8,-1.8,-32.6,-32.6,-32.6,-32.6,0.0,0.0,0.0,0.0,-563.2,-635.9,-696.3,-699.3
A363250,진시스템,2021-05-26,20000.0,17400.0,11950.0,10850.0,6150.0,21200.0,-13.0,-40.2,-45.8,-69.2,6.0,-31.3,-37.6,-64.7,21.8,2023-05-26,21200.0,6.0,21.8,-164.8,-155.6,-152.7,-65.2,-20.1,-14.1,-18.1,-15.2,302.4,310.6,309.0,252.3,-28.3,-39.8,-40.8,21.2,-0.7,-0.7,-0.7,0.4,-23.3,-20.3,-9.1,-31.9,-83.8,-66.0,-73.4,31.9,-14.7,-14.7,-14.7,-14.7,-0.4,-0.4,-0.4,13.5,-13.7,-13.7,-13.7,-85.7,0.0,0.0,0.0,0.0,-117.5,-141.0,-138.2,-171.9
A187660,페니트리움바이오,2021-06-03,1874.0,4872.0,2446.0,1997.0,1050.0,,160.0,30.5,6.6,-44.0,,-49.8,-59.0,-78.4,,2023-06-02,984.0,-47.5,-79.8,-286.6,-280.2,-272.1,,-7.7,-16.4,-7.2,,365.7,369.7,352.4,,-34.0,-21.7,-14.7,,-0.5,-0.5,-0.5,,-11.7,-13.2,-11.4,,-114.4,-118.7,-119.4,,-64.2,-64.2,-64.2,,-0.2,-0.2,-0.2,,-61.6,-61.6,-61.6,,0.0,0.0,0.0,,-71.4,-73.1,-73.1,
