day,count,ret_ipo_mean,ret_ipo_median,ret_close_mean,ret_close_median,기관,외국인총합계,개인,금융투자,보험,투신,사모펀드,은행,연기금,기타금융기관,국가_지자체,기타법인
210,363,31.12,-1.54,-6.4,-32.24,-447.61,-23.55,689.47,-74.93,1.83,-30.51,-235.88,-18.99,14.54,-103.66,0.0,-218.3
211,362,30.49,-0.39,-7.0,-31.7,-446.25,-23.55,687.38,-74.82,1.78,-30.6,-235.66,-19.04,14.57,-102.47,0.0,-217.59
212,361,30.25,-0.15,-7.05,-31.75,-446.85,-22.55,688.39,-74.93,1.73,-30.62,-235.82,-19.08,14.6,-102.72,0.0,-218.99
213,360,30.23,0.52,-7.02,-31.95,-446.12,-19.03,684.74,-75.32,1.79,-30.13,-235.18,-19.11,14.75,-102.9,0.0,-219.6
214,359,30.09,-1.4,-7.02,-31.91,-443.32,-19.47,678.63,-74.81,1.62,-31.15,-233.87,-18.5,14.23,-100.83,0.0,-215.84
215,359,30.02,-1.05,-7.19,-32.12,-443.57,-22.26,681.78,-74.98,1.67,-31.03,-234.2,-18.5,14.32,-100.85,0.0,-215.96
216,359,29.98,-2.88,-7.14,-32.29,-443.76,-21.97,682.06,-75.04,1.67,-31.17,-234.26,-18.49,14.46,-100.91,0.0,-216.34
217,359,30.23,-2.27,-7.02,-32.26,-444.24,-22.1,682.82,-75.48,1.71,-31.1,-234.57,-18.48,14.67,-100.98,0.0,-216.48
218,359,29.88,-1.56,-7.2,-32.37,-444.92,-22.44,684.1,-75.5,1.69,-31.22,-234.93,-18.48,14.6,-101.07,0.0,-216.75
219,358,30.36,-2.25,-6.81,-32.55,-445.05,-23.84,686.06,-75.45,1.72,-31.29,-234.69,-18.54,14.47,-101.28,0.0,-217.18
220,358,29.63,-2.43,-7.27,-32.9,-445.43,-24.45,687.07,-75.5,1.79,-31.43,-234.89,-18.53,14.49,-101.36,0.0,-217.19
221,358,28.97,-2.06,-7.81,-32.58,-445.89,-24.77,688.06,-75.38,1.77,-31.61,-235.09,-18.53,14.4,-101.45,0.0,-217.4
222,358,28.53,-1.63,-8.32,-33.0,-446.17,-26.25,689.99,-75.69,1.74,-31.48,-235.1,-18.52,14.38,-101.49,0.0,-217.57
223,358,28.18,-2.01,-8.66,-32.39,-446.73,-26.91,691.39,-75.84,1.77,-31.79,-235.07,-18.53,14.22,-101.5,0.0,-217.75
224,358,28.51,-0.76,-8.35,-32.17,-447.36,-25.15,690.5,-75.79,1.71,-31.7,-235.03,-18.53,14.14,-102.15,0.0,-217.99
225,358,28.72,-1.66,-8.2,-32.47,-447.33,-25.94,691.45,-75.6,1.74,-31.67,-234.96,-18.52,13.85,-102.16,0.0,-218.19
226,357,28.25,-2.2,-8.74,-33.6,-446.03,-25.55,688.06,-75.78,1.75,-31.67,-235.06,-18.03,13.64,-100.88,0.0,-216.48
227,356,28.25,-3.24,-8.54,-34.16,-446.77,-25.31,688.79,-75.85,1.73,-31.76,-235.55,-18.08,13.67,-100.92,0.0,-216.72
228,355,28.12,-1.89,-8.65,-32.72,-447.29,-25.55,688.44,-76.0,1.74,-32.4,-235.79,-17.99,13.66,-100.51,0.0,-215.6
229,355,27.76,-3.23,-8.94,-32.41,-447.32,-22.21,692.02,-75.78,1.76,-32.57,-235.98,-17.99,13.75,-100.52,0.0,-222.49
230,354,28.68,-2.1,-8.21,-32.84,-446.69,-22.35,692.38,-75.56,1.8,-32.09,-235.98,-18.03,13.9,-100.73,0.0,-223.35
231,354,28.22,-2.56,-8.55,-33.21,-446.56,-24.99,695.31,-75.73,1.83,-31.85,-236.01,-18.02,13.95,-100.73,0.0,-223.77
232,354,28.07,-2.69,-8.63,-33.59,-446.53,-25.56,696.03,-75.76,1.83,-31.73,-236.06,-18.03,13.97,-100.76,0.0,-223.95
233,354,27.8,-0.65,-8.79,-33.21,-446.68,-25.68,697.01,-75.57,1.88,-31.88,-236.23,-18.02,13.98,-100.85,0.0,-224.65
234,354,27.68,-0.48,-8.9,-34.63,-447.05,-25.9,697.99,-75.77,1.86,-31.88,-236.44,-18.04,14.14,-100.91,0.0,-225.04
235,354,27.47,-1.89,-9.1,-34.89,-447.18,-25.21,697.61,-75.74,1.9,-31.84,-236.61,-18.03,14.16,-101.01,0.0,-225.22
236,353,27.77,-1.69,-9.01,-35.0,-446.93,-25.14,697.66,-76.09,1.95,-31.56,-236.44,-17.91,14.19,-101.07,0.0,-225.6
